code,name,riskLevel,description
e100,Color additive E100,Review Needed,Seed catalog entry for E100 pending detailed additive review.
e101,Color additive E101,Review Needed,Seed catalog entry for E101 pending detailed additive review.
e102,Tartrazine,High,Synthetic yellow color additive linked to sensitivity concerns.
e103,Color additive E103,Review Needed,Seed catalog entry for E103 pending detailed additive review.
e104,Color additive E104,Review Needed,Seed catalog entry for E104 pending detailed additive review.
e105,Color additive E105,Review Needed,Seed catalog entry for E105 pending detailed additive review.
e106,Color additive E106,Review Needed,Seed catalog entry for E106 pending detailed additive review.
e107,Color additive E107,Review Needed,Seed catalog entry for E107 pending detailed additive review.
e108,Color additive E108,Review Needed,Seed catalog entry for E108 pending detailed additive review.
e109,Color additive E109,Review Needed,Seed catalog entry for E109 pending detailed additive review.
e110,Sunset Yellow FCF,High,Synthetic orange yellow color additive flagged for sensitivity review.
e111,Color additive E111,Review Needed,Seed catalog entry for E111 pending detailed additive review.
e112,Color additive E112,Review Needed,Seed catalog entry for E112 pending detailed additive review.
e113,Color additive E113,Review Needed,Seed catalog entry for E113 pending detailed additive review.
e114,Color additive E114,Review Needed,Seed catalog entry for E114 pending detailed additive review.
e115,Color additive E115,Review Needed,Seed catalog entry for E115 pending detailed additive review.
e116,Color additive E116,Review Needed,Seed catalog entry for E116 pending detailed additive review.
e117,Color additive E117,Review Needed,Seed catalog entry for E117 pending detailed additive review.
e118,Color additive E118,Review Needed,Seed catalog entry for E118 pending detailed additive review.
e119,Color additive E119,Review Needed,Seed catalog entry for E119 pending detailed additive review.
e120,Color additive E120,Review Needed,Seed catalog entry for E120 pending detailed additive review.
e121,Color additive E121,Review Needed,Seed catalog entry for E121 pending detailed additive review.
e122,Color additive E122,Review Needed,Seed catalog entry for E122 pending detailed additive review.
e123,Color additive E123,Review Needed,Seed catalog entry for E123 pending detailed additive review.
e124,Ponceau 4R,High,Synthetic red color additive often reviewed for behavioral sensitivity.
e125,Color additive E125,Review Needed,Seed catalog entry for E125 pending detailed additive review.
e126,Color additive E126,Review Needed,Seed catalog entry for E126 pending detailed additive review.
e127,Color additive E127,Review Needed,Seed catalog entry for E127 pending detailed additive review.
e128,Color additive E128,Review Needed,Seed catalog entry for E128 pending detailed additive review.
e129,Allura Red AC,High,Synthetic red color additive with sensitivity concerns in some consumers.
e130,Color additive E130,Review Needed,Seed catalog entry for E130 pending detailed additive review.
e131,Color additive E131,Review Needed,Seed catalog entry for E131 pending detailed additive review.
e132,Color additive E132,Review Needed,Seed catalog entry for E132 pending detailed additive review.
e133,Color additive E133,Review Needed,Seed catalog entry for E133 pending detailed additive review.
e134,Color additive E134,Review Needed,Seed catalog entry for E134 pending detailed additive review.
e135,Color additive E135,Review Needed,Seed catalog entry for E135 pending detailed additive review.
e136,Color additive E136,Review Needed,Seed catalog entry for E136 pending detailed additive review.
e137,Color additive E137,Review Needed,Seed catalog entry for E137 pending detailed additive review.
e138,Color additive E138,Review Needed,Seed catalog entry for E138 pending detailed additive review.
e139,Color additive E139,Review Needed,Seed catalog entry for E139 pending detailed additive review.
e140,Color additive E140,Review Needed,Seed catalog entry for E140 pending detailed additive review.
e141,Color additive E141,Review Needed,Seed catalog entry for E141 pending detailed additive review.
e142,Color additive E142,Review Needed,Seed catalog entry for E142 pending detailed additive review.
e143,Color additive E143,Review Needed,Seed catalog entry for E143 pending detailed additive review.
e144,Color additive E144,Review Needed,Seed catalog entry for E144 pending detailed additive review.
e145,Color additive E145,Review Needed,Seed catalog entry for E145 pending detailed additive review.
e146,Color additive E146,Review Needed,Seed catalog entry for E146 pending detailed additive review.
e147,Color additive E147,Review Needed,Seed catalog entry for E147 pending detailed additive review.
e148,Color additive E148,Review Needed,Seed catalog entry for E148 pending detailed additive review.
e149,Color additive E149,Review Needed,Seed catalog entry for E149 pending detailed additive review.
e150,Color additive E150,Review Needed,Seed catalog entry for E150 pending detailed additive review.
e151,Color additive E151,Review Needed,Seed catalog entry for E151 pending detailed additive review.
e152,Color additive E152,Review Needed,Seed catalog entry for E152 pending detailed additive review.
e153,Color additive E153,Review Needed,Seed catalog entry for E153 pending detailed additive review.
e154,Color additive E154,Review Needed,Seed catalog entry for E154 pending detailed additive review.
e155,Color additive E155,Review Needed,Seed catalog entry for E155 pending detailed additive review.
e156,Color additive E156,Review Needed,Seed catalog entry for E156 pending detailed additive review.
e157,Color additive E157,Review Needed,Seed catalog entry for E157 pending detailed additive review.
e158,Color additive E158,Review Needed,Seed catalog entry for E158 pending detailed additive review.
e159,Color additive E159,Review Needed,Seed catalog entry for E159 pending detailed additive review.
e160,Color additive E160,Review Needed,Seed catalog entry for E160 pending detailed additive review.
e161,Color additive E161,Review Needed,Seed catalog entry for E161 pending detailed additive review.
e162,Color additive E162,Review Needed,Seed catalog entry for E162 pending detailed additive review.
e163,Color additive E163,Review Needed,Seed catalog entry for E163 pending detailed additive review.
e164,Color additive E164,Review Needed,Seed catalog entry for E164 pending detailed additive review.
e165,Color additive E165,Review Needed,Seed catalog entry for E165 pending detailed additive review.
e166,Color additive E166,Review Needed,Seed catalog entry for E166 pending detailed additive review.
e167,Color additive E167,Review Needed,Seed catalog entry for E167 pending detailed additive review.
e168,Color additive E168,Review Needed,Seed catalog entry for E168 pending detailed additive review.
e169,Color additive E169,Review Needed,Seed catalog entry for E169 pending detailed additive review.
e170,Color additive E170,Review Needed,Seed catalog entry for E170 pending detailed additive review.
e171,Color additive E171,Review Needed,Seed catalog entry for E171 pending detailed additive review.
e172,Color additive E172,Review Needed,Seed catalog entry for E172 pending detailed additive review.
e173,Color additive E173,Review Needed,Seed catalog entry for E173 pending detailed additive review.
e174,Color additive E174,Review Needed,Seed catalog entry for E174 pending detailed additive review.
e175,Color additive E175,Review Needed,Seed catalog entry for E175 pending detailed additive review.
e176,Color additive E176,Review Needed,Seed catalog entry for E176 pending detailed additive review.
e177,Color additive E177,Review Needed,Seed catalog entry for E177 pending detailed additive review.
e178,Color additive E178,Review Needed,Seed catalog entry for E178 pending detailed additive review.
e179,Color additive E179,Review Needed,Seed catalog entry for E179 pending detailed additive review.
e180,Color additive E180,Review Needed,Seed catalog entry for E180 pending detailed additive review.
e181,Color additive E181,Review Needed,Seed catalog entry for E181 pending detailed additive review.
e182,Color additive E182,Review Needed,Seed catalog entry for E182 pending detailed additive review.
e183,Color additive E183,Review Needed,Seed catalog entry for E183 pending detailed additive review.
e184,Color additive E184,Review Needed,Seed catalog entry for E184 pending detailed additive review.
e185,Color additive E185,Review Needed,Seed catalog entry for E185 pending detailed additive review.
e186,Color additive E186,Review Needed,Seed catalog entry for E186 pending detailed additive review.
e187,Color additive E187,Review Needed,Seed catalog entry for E187 pending detailed additive review.
e188,Color additive E188,Review Needed,Seed catalog entry for E188 pending detailed additive review.
e189,Color additive E189,Review Needed,Seed catalog entry for E189 pending detailed additive review.
e190,Color additive E190,Review Needed,Seed catalog entry for E190 pending detailed additive review.
e191,Color additive E191,Review Needed,Seed catalog entry for E191 pending detailed additive review.
e192,Color additive E192,Review Needed,Seed catalog entry for E192 pending detailed additive review.
e193,Color additive E193,Review Needed,Seed catalog entry for E193 pending detailed additive review.
e194,Color additive E194,Review Needed,Seed catalog entry for E194 pending detailed additive review.
e195,Color additive E195,Review Needed,Seed catalog entry for E195 pending detailed additive review.
e196,Color additive E196,Review Needed,Seed catalog entry for E196 pending detailed additive review.
e197,Color additive E197,Review Needed,Seed catalog entry for E197 pending detailed additive review.
e198,Color additive E198,Review Needed,Seed catalog entry for E198 pending detailed additive review.
e199,Color additive E199,Review Needed,Seed catalog entry for E199 pending detailed additive review.
e200,Preservative E200,Review Needed,Seed catalog entry for E200 pending detailed additive review.
e201,Preservative E201,Review Needed,Seed catalog entry for E201 pending detailed additive review.
